n_gt_030,n_gt_045,global_max_absCC
0,0,0.23917227777661823
0,0,0.28675302922645507
1,0,0.3043970541789592
0,0,0.2637992542303078
1,0,0.36311504858339216
0,0,0.2423858072130542
1,0,0.30487312541706424
2,0,0.30679656997317284
0,0,0.27670446696082446
0,0,0.2781945681107624
0,0,0.2647263159168488
0,0,0.2946033981697959
0,0,0.289688473009849
2,0,0.3071961780249759
0,0,0.26793400510406523
0,0,0.25845263405212754
0,0,0.26941254878861315
3,0,0.43457400924881784
10,0,0.4096642360137087
1,0,0.4016775888682962
2,0,0.3086722600067221
34,0,0.3285675839732871
0,0,0.2762313164101708
1,0,0.34060926884342324
0,0,0.2497703654413227
3,0,0.3743273493957442
3,0,0.35231218809363885
3,0,0.3351891262532643
0,0,0.28542449684405113
3,0,0.34637247799308235
0,0,0.2576385987721036
1,0,0.36218654689727314
0,0,0.2837171194192233
0,0,0.2835860043256231
0,0,0.2885738152303527
0,0,0.29063736905212173
0,0,0.2811547819352146
0,0,0.292059460841944
0,0,0.2579996304555352
26,2,0.5292562706256878
0,0,0.2885788936141948
0,0,0.2577762387701375
4,0,0.3267095878024839
0,0,0.25068496503887433
0,0,0.25665112218860203
1,0,0.3905916954352702
39,0,0.41868976548821274
0,0,0.2838229441281661
0,0,0.2218300288566051
0,0,0.26923137356001997
0,0,0.28637311624346407
0,0,0.25479080830229084
0,0,0.2409786495253463
0,0,0.28534150718116874
0,0,0.29020028037114026
0,0,0.26330084209552534
0,0,0.29676695219944327
0,0,0.2744524351276007
19,0,0.4104470268572283
2,0,0.35321248821409035
0,0,0.2567139847822736
2,0,0.31798780095860235
0,0,0.2739733865438498
0,0,0.2559357154088194
0,0,0.28183073377305645
0,0,0.2615885837081066
0,0,0.27836373480281207
0,0,0.27291704169609465
0,0,0.298444401736095
0,0,0.24147601550444012
2,0,0.3404415254294004
0,0,0.28799937050575913
0,0,0.2664743133309787
0,0,0.2500676703031847
0,0,0.26593939495010754
0,0,0.25077233040428815
0,0,0.284575918418922
0,0,0.2619850338401696
3,0,0.35409241364452515
2,0,0.3047712951438859
0,0,0.22928475970127682
0,0,0.27003221159198443
0,0,0.2626271017911248
0,0,0.23924692243881784
0,0,0.27222718013109604
2,0,0.34661986157457586
0,0,0.2195806159581058
0,0,0.2368601386630394
0,0,0.24666572269424303
0,0,0.2879899657619377
0,0,0.28087080920191243
0,0,0.2973399678008644
11,0,0.4428515058161453
4,0,0.39415917167323755
7,0,0.3232629741412909
0,0,0.2512203067522326
0,0,0.2809608024287335
0,0,0.2719818936764196
2,0,0.30358671222425276
0,0,0.2785566530286746
0,0,0.256129906202465
14,0,0.43731794267920243
0,0,0.25623974650454007
0,0,0.28392086562247115
0,0,0.24812149794868396
0,0,0.2576154155083111
0,0,0.22346965753421955
0,0,0.2692761517817939
0,0,0.2654958187478929
0,0,0.26537098012004134
0,0,0.28382724267069837
0,0,0.2858838191192908
0,0,0.2808969619266286
0,0,0.24412704307952832
0,0,0.2222627596361064
1,0,0.302726566544422
0,0,0.25280051614402216
0,0,0.2592073504597366
0,0,0.28157755000613194
0,0,0.2768870322556756
0,0,0.27411138864901785
0,0,0.27845906595006353
0,0,0.24169145394315802
0,0,0.2659896742074423
2,0,0.314736255578026
0,0,0.28380510701160505
23,0,0.3801610447329328
0,0,0.27558994508696566
3,0,0.4173318097172984
0,0,0.22236597839155262
0,0,0.27376510451554736
2,0,0.3110281248215093
0,0,0.27657137325311937
0,0,0.2416801835793456
0,0,0.2695833278769798
0,0,0.21802771176550792
0,0,0.27788399700232713
2,0,0.348426077372986
0,0,0.2786442977548855
2,0,0.31522512418445947
0,0,0.23940281479480954
0,0,0.2700792292222346
0,0,0.26256183482723344
0,0,0.27523110911047644
0,0,0.27454261559852533
0,0,0.2778040837887529
0,0,0.2621332822947417
1,0,0.3001985560166726
0,0,0.2526122153562937
0,0,0.29396179634649705
0,0,0.24717967673719587
0,0,0.28028026925831573
0,0,0.2609856983142798
0,0,0.23381682087810104
0,0,0.2996896277752139
0,0,0.27643616838060087
0,0,0.2454640041350418
0,0,0.2624144027001176
0,0,0.2565302449322101
0,0,0.24530648336255445
0,0,0.28939074953234617
0,0,0.2985803872952934
0,0,0.24018604220983908
0,0,0.26375102499061676
0,0,0.263169983670785
0,0,0.28486040234344806
1,0,0.30581097838866866
0,0,0.2852407863505304
0,0,0.273582247094795
14,0,0.38799228845379585
68,2,0.47985968993684686
0,0,0.24001843714660284
0,0,0.2913953936202573
42,0,0.3771556296021335
0,0,0.2507236243294482
0,0,0.26798739176947295
0,0,0.27806499879917207
0,0,0.2779759609132601
0,0,0.2850880788900327
0,0,0.2864188677340786
0,0,0.2322302840078211
0,0,0.2674043298114536
0,0,0.22792891861308842
3,0,0.38383092723891354
0,0,0.2742293932514161
0,0,0.259609662536045
4,0,0.3740629792602438
0,0,0.2735131049235116
0,0,0.27776270206304354
0,0,0.25768311162520874
0,0,0.2627465223619818
0,0,0.2624733203834051
0,0,0.25909594807260866
0,0,0.2672839926631484
2,0,0.36879054024705765
0,0,0.26538541504873253
0,0,0.26138815032017537
0,0,0.2808586252465966
1,0,0.31193505715747577
0,0,0.27461588723888836
0,0,0.2548271175607772
0,0,0.27394905977778294
0,0,0.2437039217869279
0,0,0.25243704464616523
0,0,0.2650345448508778
0,0,0.2502137331522515
0,0,0.2765204915318091
2,0,0.3251203630529215
0,0,0.2540977193577704
0,0,0.2373848847899403
0,0,0.2587210401386938
1,0,0.3175556339839814
0,0,0.257784762303713
0,0,0.27447650463180967
0,0,0.27698383437699076
3,0,0.33228695898956234
0,0,0.2557291908794949
0,0,0.2800747730971149
1,0,0.32542297892294264
0,0,0.2687744255840965
0,0,0.2866314198009803
0,0,0.28503815122747683
0,0,0.2581355564394635
0,0,0.2687479793610694
0,0,0.24272537466621785
0,0,0.27189035819282253
0,0,0.25445369846046534
37,1,0.4610987896389705
24,0,0.3541644602402166
0,0,0.27660107039679377
1,0,0.31536846576069033
0,0,0.29599503646759817
0,0,0.25132384479406394
0,0,0.26675715169731495
0,0,0.23066250190043827
0,0,0.2844355273847516
0,0,0.27870274351874014
0,0,0.2474212944453411
0,0,0.27346265704804384
1,0,0.30497543385702386
0,0,0.2637210154232569
0,0,0.2501249398884693
22,0,0.41459346988645057
0,0,0.26947375183283784
0,0,0.2729080568236619
13,0,0.33788993525890737
0,0,0.28003140130383003
0,0,0.22680680669545733
7,0,0.39411624279921653
0,0,0.27801350251354423
0,0,0.2729896414665796
39,2,0.5001251843752715
0,0,0.273990852193263
4,0,0.37733808868907087
9,1,0.45242271771205794
3,0,0.371602734055344
0,0,0.2749234829976929
0,0,0.2994053137633211
0,0,0.24877878092982675
0,0,0.2588597207030316
0,0,0.26906840750723343
0,0,0.2818555716900118
0,0,0.2549166786802435
5,0,0.3079409385860953
0,0,0.28877079531323296
1,0,0.3921560385324927
1,0,0.3271079376727583
0,0,0.2744940202039354
0,0,0.2965350674320657
0,0,0.2686670960373582
1,0,0.4048021829896313
0,0,0.2638279904629984
7,0,0.34749406067226934
0,0,0.2463005314939217
0,0,0.24892031567721795
0,0,0.23575032413659366
3,0,0.36377960790595604
0,0,0.2705297002233165
0,0,0.27781814352087764
1,0,0.32214383366544025
9,0,0.3376808724642106
0,0,0.27440949573832396
0,0,0.2787698694836252
9,0,0.42107136605247636
0,0,0.2827508020612599
0,0,0.2730486863550496
0,0,0.29267202084413585
6,0,0.3207007698284873
0,0,0.2767500100314832
0,0,0.2836553145875512
0,0,0.2618219767800831
0,0,0.2464233926440325
0,0,0.2520681550831709
0,0,0.22440226742305255
0,0,0.2688721343492045
0,0,0.2515490472903097
0,0,0.2916039544104232
2,0,0.3902877925763932
0,0,0.25515663056020305
0,0,0.22187859814945518
0,0,0.26382460233323374
0,0,0.23668967910875102
0,0,0.248964216798583
0,0,0.2834669592206003
0,0,0.2768350979085992
0,0,0.2875960824818437
0,0,0.23099139503256083
0,0,0.24598925256593562
45,0,0.4402306478427851
1,0,0.40841877135856147
5,0,0.36867193710214957
0,0,0.2701534439292053
3,0,0.3475387457670406
0,0,0.2619342752000962
